"X","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Anxiety"
38,2,2,2,2,2,2,2,"Somewhat difficult",3,4,2,2,2,"Other","Console",18,"Competition",1,1,0,2,2,0,0,1,2,2,0,1,0,0,2,0,0,0,3,"Male",24,"Student","High School","USA","USA","Singleplayer",14,13,13,1
39,2,1,1,2,0,0,1,"Somewhat difficult",2,2,2,2,3,"Other","Console",10,"Fun",0,1,2,2,2,1,3,3,3,4,2,4,2,1,4,3,1,3,1,"Female",24,"Student","High School","Canada","Canada","Singleplayer",7,11,41,0
40,0,0,1,2,1,1,0,"Somewhat difficult",6,7,6,5,3,"Other","PC",20,"Fun",4,0,0,1,2,0,0,1,1,2,0,0,0,0,1,0,0,0,3,"Male",21,"Student","Masters","Ireland","Ireland","Singleplayer",5,27,8,0
41,2,2,2,2,2,2,2,"Very difficult",3,6,4,2,2,"Other","PC",10,"Fun",0,2,1,2,1,3,1,0,1,1,2,1,3,0,1,3,0,2,2,"Female",18,"Student","High School","Switzerland","USA","Singleplayer",14,17,24,1
42,1,1,1,0,0,1,0,"Somewhat difficult",2,2,4,4,3,"Other","PC",10,"Fun",0,0,1,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,"Male",18,"Student","High School","UK","UK","Multiplayer",4,15,9,0
43,0,0,0,0,0,0,0,"Not difficult at all",5,3,5,5,5,"Other","PC",12,"Fun",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,"Male",27,"Employed","Bachelors","USA","USA","Multiplayer",0,23,1,0
44,1,1,1,1,0,2,1,"Somewhat difficult",3,4,4,2,2,"Counter Strike","PC",7,"Fun",2,0,1,1,1,2,2,2,1,2,0,1,1,1,0,1,0,1,2,"Male",21,"Student","High School","USA","USA","Multiplayer",7,15,17,0
45,2,1,2,2,2,2,2,"Somewhat difficult",6,7,6,6,3,"Other","Console",5,"Competition",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Male",24,"Student","Bachelors","Canada","Canada","Multiplayer",13,28,3,1
47,1,1,0,0,1,2,0,"Somewhat difficult",6,5,3,3,5,"Other","PC",4,"Competition",20,3,3,1,1,2,2,3,1,2,0,1,0,2,3,2,1,3,2,"Male",18,"Student","High School","USA","USA","Singleplayer",5,22,30,0
48,2,2,2,1,0,0,0,"Somewhat difficult",2,4,4,5,5,"Other","PC",20,"Fun",0,3,0,3,3,1,1,0,3,3,3,1,0,0,0,0,3,0,1,"Female",25,"Employed","Bachelors","USA","USA","Singleplayer",7,20,24,0
50,2,2,2,2,1,0,2,"Very difficult",2,2,1,3,2,"League of Legends","PC",25,"Competition",35,0,2,1,2,1,2,2,1,1,1,1,0,0,1,0,0,2,3,"Male",18,"Student","High School","USA","USA","Multiplayer",11,10,17,1
51,1,1,1,0,1,0,0,"Somewhat difficult",3,4,4,3,2,"Other","Console",18,"Fun",10,1,3,1,2,0,1,1,1,1,2,1,2,0,1,2,0,1,2,"Male",18,"Student","None","USA","USA","Singleplayer",4,16,20,0
52,1,0,1,0,0,0,0,"Not difficult at all",5,5,5,2,3,"Other","PC",15,"Competition",10,2,1,1,2,0,0,0,2,2,1,0,0,0,1,0,0,0,2,"Male",18,"Student","High School","Turkey","Turkey","Multiplayer",2,20,12,0
53,0,0,0,0,0,1,0,"Not difficult at all",1,1,6,1,4,"League of Legends","PC",10,"Fun",2,0,0,1,2,0,0,0,3,3,0,2,0,0,0,0,0,0,3,"Male",28,"Unemployed","Bachelors","UK","UK","Multiplayer",1,13,11,0
54,0,0,0,0,1,1,0,"Somewhat difficult",5,6,5,6,6,"Other","PC",30,"Fun",0,2,1,0,1,0,1,1,2,3,1,3,0,0,2,2,1,0,2,"Female",21,"Student","High School","USA","USA","Singleplayer",2,28,20,0
55,2,2,2,1,0,1,0,"Somewhat difficult",6,6,5,5,6,"Other","Console",11,"Fun",0,0,0,1,1,3,3,0,1,1,0,0,3,0,1,2,1,0,2,"Female",22,"Student","High School","USA","USA","Multiplayer",8,28,17,0
56,2,1,1,3,1,2,0,"Very difficult",2,3,1,1,1,"Other","PC",0,"Fun",0,2,2,3,4,4,3,2,3,2,0,2,2,3,4,4,2,2,2,"Male",19,"Student","High School","USA","USA","Singleplayer",10,8,44,1
59,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,6,7,"Other","Console",10,"Fun",3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,"Male",24,"Student","Masters","USA","USA","Multiplayer",0,31,6,0
60,0,1,1,1,0,0,3,"Somewhat difficult",2,2,1,1,1,"Other","PC",20,"Fun",5,0,1,0,0,1,1,0,0,1,0,4,3,0,1,1,0,0,1,"Male",20,"Unemployed","High School","Canada","Canada","Multiplayer",6,7,13,0
61,3,3,1,1,0,1,0,"Somewhat difficult",4,6,3,4,3,"Other","PC",0,"Fun",0,1,0,2,3,1,2,0,3,3,3,4,2,0,1,1,1,0,2,"Male",19,"Student","None","Canada","Canada","Singleplayer",9,20,27,0
62,0,0,0,0,0,0,0,"Somewhat difficult",6,6,7,6,5,"Other","PC",40,"Fun",0,3,2,3,2,2,1,3,1,1,1,4,0,2,3,2,1,4,1,"Male",27,"Employed","Bachelors","Sweden","Sweden","Singleplayer",0,30,35,0
63,1,0,1,0,0,2,0,"Not difficult at all",5,6,6,4,4,"Counter Strike","PC",18,"Competition",18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,"Male",18,"Student","High School","USA","USA","Multiplayer",4,25,4,0
64,2,0,1,2,2,2,0,"Somewhat difficult",5,7,6,7,2,"World of Warcraft","PC",5,"Fun",0,0,3,2,3,3,2,3,2,3,3,2,2,2,3,1,1,3,1,"Female",30,"Employed","Masters","USA","Germany","Multiplayer",9,27,38,0
65,2,2,3,2,2,2,2,"Very difficult",3,3,4,3,4,"Other","Console",25,"Fun",0,0,1,2,2,3,3,1,1,3,3,3,2,1,2,2,1,2,2,"Female",18,"Student","None","UK","UK","Multiplayer",15,17,32,1
66,3,3,2,3,1,3,3,"Very difficult",1,1,1,2,1,"Other","PC",1,"Fun",0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,"Female",18,"Student","High School","UK","USA","Singleplayer",18,6,64,1
67,2,3,3,3,3,3,2,"Very difficult",2,4,2,1,1,"Other","Console",14,"Fun",0,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,5,"Male",22,"Student","Bachelors","USA","USA","Singleplayer",19,10,64,1
68,1,1,1,0,0,2,1,"Not difficult at all",5,7,6,3,7,"Other","PC",2,"Fun",1,1,0,3,0,4,0,1,1,1,0,4,4,0,3,2,0,1,1,"Female",24,"Student","Bachelors","Belgium","Belgium","Singleplayer",6,28,25,0
69,1,1,1,0,0,0,0,"Somewhat difficult",5,5,5,5,4,"Destiny","Console",12,"Competition",2,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,1,2,2,"Male",18,"Student","High School","USA","USA","Multiplayer",3,24,11,0
71,1,0,1,2,1,1,1,"Not difficult at all",2,4,3,5,2,"Other","PC",10,"Competition",0,3,3,4,2,3,4,4,3,4,2,4,2,3,3,3,3,4,3,"Male",40,"Employed","High School","Canada","Canada","Singleplayer",7,16,54,0
72,0,0,0,0,0,0,0,"Not difficult at all",5,5,5,5,5,"Other","PC",10,"Fun",1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,"Male",18,"Student","High School","USA","USA","Multiplayer",0,25,68,0
73,2,2,2,2,1,0,1,"Not difficult at all",7,7,7,7,7,"Counter Strike","PC",7,"Fun",3,0,2,2,1,4,2,0,2,2,0,1,1,0,2,2,0,0,3,"Male",19,"Student","High School","USA","USA","Singleplayer",10,35,21,1
74,0,0,0,0,0,1,0,"Not difficult at all",7,7,6,7,4,"Other","PC",25,"Competition",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,"Male",23,"Employed","Bachelors","USA","USA","Singleplayer",1,31,3,0
75,3,2,3,3,0,3,2,"Extremely difficult",2,5,3,2,2,"Other","PC",10,"Competition",0,4,4,3,4,4,4,0,2,4,4,4,4,4,4,4,4,4,1,"Male",24,"Student","Bachelors","Canada","Canada","Multiplayer",16,14,61,1
76,2,3,3,2,3,3,3,"Not difficult at all",6,6,7,6,4,"League of Legends","PC",25,"Competition",5,1,2,1,4,4,4,0,2,4,4,4,4,4,4,4,0,1,5,"Male",18,"Student","High School","Latvia","Latvia","Multiplayer",19,29,47,1
77,2,2,2,2,1,1,1,"Somewhat difficult",3,4,3,3,3,"Other","PC",25,"Fun",5,1,0,1,1,0,2,0,3,3,1,3,0,0,0,0,0,0,1,"Male",20,"Student","High School","USA","USA","Singleplayer",11,16,15,1
78,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,5,4,"Other","PC",10,"Competition",2,1,1,2,3,3,3,3,2,4,2,1,2,1,3,3,1,1,2,"Male",23,"Student","Bachelors","Austria","Austria","Multiplayer",0,27,36,0
79,0,0,1,1,1,0,1,"Somewhat difficult",5,5,5,5,2,"Other","PC",30,"Fun",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Male",21,"Student","Bachelors","UK","UK","Multiplayer",4,22,0,0
80,2,1,1,1,0,1,2,"Somewhat difficult",4,5,4,3,1,"League of Legends","PC",20,"Competition",5,1,1,0,1,1,1,2,3,2,2,1,3,2,1,1,1,2,2,"Male",19,"Student","High School","Australia","Australia","Multiplayer",8,17,25,0
81,3,3,3,3,3,3,3,"Very difficult",2,1,4,2,3,"League of Legends","PC",40,"Competition",20,3,1,3,3,3,3,2,3,3,1,2,3,3,1,4,4,3,4,"Male",21,"Student","High School","USA","USA","Multiplayer",21,12,45,1
83,2,2,2,2,0,1,1,"Somewhat difficult",5,2,6,7,2,"Other","Console",25,"Fun",0,1,0,3,2,4,3,2,2,3,2,2,3,1,3,4,1,2,1,"Female",34,"Unemployed","Masters","USA","USA","Singleplayer",10,22,38,1
84,1,2,2,0,2,1,1,"Not difficult at all",2,3,5,7,7,"Other","Console",10,"Fun",5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,"Male",19,"Student","High School","USA","USA","Singleplayer",9,24,5,0
85,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,6,5,"Other","Smartphone",5,"Fun",0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,4,"Male",50,"Employed","Masters","USA","Japan","Singleplayer",0,29,7,0
86,3,3,3,3,2,3,1,"Very difficult",2,3,4,3,3,"League of Legends","PC",10,"Competition",5,1,4,3,0,2,2,3,2,0,0,0,2,2,2,4,1,2,1,"Female",20,"Employed","High School","USA","USA","Multiplayer",18,15,30,1
87,2,1,1,1,1,1,0,"Somewhat difficult",5,4,2,4,5,"Other","PC",20,"Fun",0,1,0,3,3,2,2,0,3,2,2,2,1,2,2,1,2,2,4,"Female",21,"Student","High School","Canada","Canada","Multiplayer",7,20,30,0
88,0,0,0,1,0,1,1,"Not difficult at all",5,5,6,5,4,"Diablo 3","PC",45,"Fun",20,0,2,2,3,2,3,2,4,3,1,3,2,1,1,1,0,0,2,"Male",19,"Student","High School","USA","USA","Multiplayer",3,25,30,0
89,2,1,1,1,0,2,1,"Somewhat difficult",6,7,6,6,5,"Other","PC",11,"Fun",0,1,1,2,2,2,3,0,2,1,1,1,1,3,2,4,1,3,3,"Male",28,"Employed","Masters","Canada","Canada","Singleplayer",8,30,30,0
90,1,0,1,1,1,1,0,"Somewhat difficult",6,6,6,7,2,"Other","PC",12,"Fun",6,1,0,1,2,0,0,0,0,1,1,0,0,0,2,3,0,0,3,"Male",18,"Student","High School","UK","UK","Multiplayer",5,27,11,0
91,1,0,1,2,1,2,1,"Somewhat difficult",2,3,2,2,2,"Other","PC",25,"Competition",0,1,3,0,3,3,3,1,0,2,2,4,1,0,3,4,2,2,2,"Male",24,"Student","Bachelors","Canada","Canada","Multiplayer",8,11,34,0
93,1,0,1,1,1,0,0,"Somewhat difficult",2,3,4,2,3,"Starcraft 2","PC",6,"Fun",2,1,2,1,2,1,0,1,1,1,0,1,0,0,0,1,1,0,2,"Male",22,"Student","Bachelors","USA","USA","Multiplayer",4,14,13,0
94,1,2,1,0,1,1,2,"Somewhat difficult",3,4,6,5,5,"League of Legends","PC",20,"Fun",2,1,2,1,1,1,0,1,2,0,0,1,0,0,1,1,0,1,1,"Male",19,"Student","None","USA","USA","Multiplayer",8,23,13,0
95,3,3,3,3,0,0,0,"Very difficult",1,3,1,1,1,"Other","Console",6,"Fun",0,1,4,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,"Female",18,"Student","High School","USA","USA","Singleplayer",12,7,11,1
96,1,1,0,1,0,2,1,"Not difficult at all",2,5,2,4,1,"Other","PC",20,"Competition",0,3,3,3,3,3,4,4,2,4,3,4,1,0,3,2,2,3,2,"Female",22,"Student","High School","USA","USA","Singleplayer",6,14,47,0
97,3,3,3,3,1,3,1,"Extremely difficult",2,4,3,2,2,"Other","Console",10,"Fun",0,0,0,3,2,2,4,1,3,3,1,1,1,2,2,4,0,2,1,"Male",18,"Student","High School","USA","USA","Singleplayer",17,13,31,1
99,1,0,1,1,0,2,0,"Somewhat difficult",2,6,3,4,3,"Starcraft 2","PC",8,"Competition",20,1,1,0,3,0,1,0,1,2,2,2,0,0,1,0,2,0,2,"Male",20,"Student","Bachelors","Germany","Germany","Multiplayer",5,18,16,0
101,0,0,0,0,1,0,0,"Not difficult at all",5,5,5,6,3,"Starcraft 2","PC",25,"Competition",25,1,1,1,2,0,0,1,1,2,0,3,0,0,1,2,0,0,1,"Male",22,"Employed","Bachelors","South Africa","South Africa","Multiplayer",1,24,15,0
102,1,3,2,2,2,1,0,"Somewhat difficult",2,4,3,4,3,"Starcraft 2","PC",16,"Competition",5,0,3,3,3,3,3,3,3,3,3,3,2,2,3,4,1,3,1,"Male",22,"Student","High School","Germany","Germany","Multiplayer",11,16,45,1
103,0,0,0,0,0,1,0,"Not difficult at all",5,5,6,5,2,"League of Legends","PC",20,"Competition",5,1,1,1,1,2,0,0,1,1,0,0,1,0,1,2,1,2,3,"Male",27,"Student","High School","Germany","Germany","Multiplayer",1,23,15,0
105,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,5,6,"Other","PC",50,"Competition",4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Male",20,"Unemployed","High School","Croatia","Croatia","Multiplayer",0,29,5,0
106,2,2,3,1,1,3,1,"Very difficult",2,3,1,1,1,"League of Legends","PC",12,"Competition",5,2,2,2,4,4,4,0,2,3,3,4,4,2,3,4,3,4,2,"Male",18,"Student","High School","UK","UK","Multiplayer",13,8,50,1
107,3,3,3,3,2,0,1,"Extremely difficult",2,2,1,1,1,"League of Legends","PC",28,"Fun",20,0,2,4,3,2,3,1,4,4,2,1,0,0,3,3,0,1,1,"Male",19,"Unemployed","High School","Germany","Switzerland","Singleplayer",15,7,33,1
108,0,0,1,0,0,1,1,"Somewhat difficult",5,5,6,2,1,"League of Legends","PC",25,"Competition",5,1,1,0,2,2,2,2,1,2,2,1,0,0,1,1,1,2,4,"Male",19,"Student","High School","Croatia","Croatia","Multiplayer",3,19,21,0
109,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,6,6,"League of Legends","PC",42,"Fun",4,1,2,1,1,1,1,0,2,1,0,1,0,0,1,1,1,1,3,"Male",27,"Employed","Bachelors","India","India","Multiplayer",0,30,15,0
110,0,3,3,3,1,2,3,"Extremely difficult",1,4,1,1,1,"League of Legends","PC",20,"Fun",2,1,0,0,4,0,1,2,3,2,1,4,0,0,3,0,0,0,1,"Female",21,"Employed","High School","USA","Germany","Multiplayer",15,8,21,1
111,1,1,1,1,0,1,0,"Somewhat difficult",1,7,1,1,1,"League of Legends","PC",14,"Fun",4,0,0,0,4,2,0,0,2,1,1,0,1,0,0,0,0,0,1,"Male",18,"Student","High School","Netherlands","Netherlands","Multiplayer",5,11,11,0
112,1,3,3,1,0,1,0,"Somewhat difficult",1,7,5,1,1,"Starcraft 2","PC",80,"Competition",35,1,0,0,2,2,4,4,2,4,0,4,4,0,3,2,1,4,2,"Male",18,"Student","None","UK","UK","Multiplayer",9,15,37,0
113,1,1,1,1,2,2,1,"Somewhat difficult",2,2,1,2,1,"League of Legends","PC",50,"Competition",5,2,1,3,4,3,2,1,3,4,3,1,1,1,2,0,2,1,2,"Male",19,"Student","High School","USA","USA","Multiplayer",9,8,34,0
114,1,0,1,1,2,2,0,"Somewhat difficult",1,6,1,1,2,"League of Legends","PC",40,"Fun",15,1,3,3,3,0,1,2,3,4,4,3,1,0,2,1,1,3,1,"Male",22,"Student","High School","Denmark","Denmark","Multiplayer",7,11,35,0
116,0,0,1,1,0,0,0,"Somewhat difficult",3,4,5,2,2,"League of Legends","PC",10,"Fun",20,1,2,0,3,0,1,3,3,4,1,4,1,0,0,0,0,2,1,"Female",20,"Employed","High School","Portugal","Portugal","Multiplayer",2,16,25,0
117,0,0,0,1,0,1,0,"Not difficult at all",6,6,6,6,6,"Starcraft 2","PC",10,"Competition",5,0,1,1,2,0,1,2,1,1,0,1,0,0,1,1,0,0,2,"Male",22,"Student","High School","UK","UK","Multiplayer",2,30,12,0
118,0,1,1,0,1,0,1,"Somewhat difficult",3,6,2,7,1,"League of Legends","PC",28,"Competition",10,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"Male",21,"Student","Bachelors","France","France","Multiplayer",4,19,4,0
119,1,1,1,1,1,3,0,"Somewhat difficult",1,2,1,3,1,"League of Legends","PC",30,"Fun",20,2,0,2,1,4,1,0,2,1,0,1,4,0,3,1,0,0,2,"Male",20,"Unemployed","Bachelors","France","France","Multiplayer",8,8,22,0
120,3,1,2,1,0,1,0,"Not difficult at all",1,6,1,2,1,"Heroes of the Storm","PC",20,"Fun",50,0,1,3,3,3,3,1,4,4,0,3,1,2,3,1,0,1,1,"Male",23,"Student","High School","France","France","Multiplayer",8,11,33,0
121,3,3,3,1,1,3,3,"Very difficult",1,1,1,1,1,"League of Legends","PC",28,"Fun",8,3,2,1,3,2,3,1,2,3,0,4,3,0,3,1,1,2,3,"Male",21,"Employed","High School","UK","UK","Multiplayer",17,5,34,1
122,1,1,1,1,0,0,0,"Not difficult at all",3,5,3,3,3,"League of Legends","PC",40,"Competition",10,0,3,1,0,1,3,4,1,1,0,3,0,0,4,4,0,1,1,"Male",23,"Unemployed","High School","Argentina","Argentina","Multiplayer",4,17,26,0
123,1,0,0,0,1,1,0,"Somewhat difficult",2,2,2,2,1,"League of Legends","PC",30,"Fun",15,0,3,2,4,4,4,2,3,1,1,4,2,1,4,3,0,2,1,"Male",18,"Student","High School","Germany","Germany","Singleplayer",3,9,40,0
124,1,1,3,1,1,3,3,"Not difficult at all",6,6,7,5,5,"League of Legends","PC",30,"Competition",15,1,2,3,4,4,1,0,4,4,4,4,1,3,3,4,0,4,2,"Male",18,"Employed","High School","Germany","Germany","Multiplayer",13,29,46,1
